country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","29-07-2026 14:00:00",29.931624,73.864511,SO2,1,5,3
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","29-07-2026 14:00:00",29.931624,73.864511,CO,4,21,10
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","29-07-2026 14:00:00",26.159933,75.780517,PM2.5,NA,NA,NA
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","29-07-2026 14:00:00",26.159933,75.780517,NH3,4,7,5
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","29-07-2026 14:00:00",26.159933,75.780517,SO2,2,7,4
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","29-07-2026 14:00:00",24.5886166,73.6321397,NH3,1,32,7
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","29-07-2026 14:00:00",24.5886166,73.6321397,CO,14,36,22
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","29-07-2026 14:00:00",27.33853,88.614099,SO2,1,1,1
India,"Tamil Nadu",Chennai,"Royapuram, Chennai - TNPCB","29-07-2026 14:00:00",13.1036,80.2909,PM2.5,NA,NA,NA
India,"Tamil Nadu",Chennai,"Royapuram, Chennai - TNPCB","29-07-2026 14:00:00",13.1036,80.2909,NO2,NA,NA,NA
India,"Tamil Nadu",Chennai,"Royapuram, Chennai - TNPCB","29-07-2026 14:00:00",13.1036,80.2909,NH3,NA,NA,NA
India,"Tamil Nadu",Chennai,"Royapuram, Chennai - TNPCB","29-07-2026 14:00:00",13.1036,80.2909,CO,51,58,54
India,"Tamil Nadu",Chennai,"Velachery Res. Area, Chennai - CPCB","29-07-2026 14:00:00",13.0052189,80.2398125,PM10,84,111,100
India,"Tamil Nadu",Chennai,"Velachery Res. Area, Chennai - CPCB","29-07-2026 14:00:00",13.0052189,80.2398125,SO2,4,6,5
India,"Tamil Nadu",Chennai,"Velachery Res. Area, Chennai - CPCB","29-07-2026 14:00:00",13.0052189,80.2398125,OZONE,9,14,11
India,"Tamil Nadu",Chennai,"Manali, Chennai - CPCB","29-07-2026 14:00:00",13.164544,80.26285,NO2,7,10,10
India,"Tamil Nadu",Chennai,"Kodungaiyur, Chennai - TNPCB","29-07-2026 14:00:00",13.1278,80.2642,PM10,46,94,68
India,"Uttar Pradesh",Bareilly,"Rajendra Nagar, Bareilly - UPPCB","29-07-2026 14:00:00",28.38910936,79.42963708,PM10,42,74,57
